Self-Acceptance,Positive Relations with Others,Autonomy,Environmental Mastery,Personal Growth
3.3333333333333335,3.5,4.0,4.333333333333333,2.0
2.0,2.0,2.0,4.0,2.0
4.333333333333333,3.5,4.333333333333333,4.0,3.0
3.0,3.0,3.3333333333333335,3.6666666666666665,2.0
3.0,1.5,4.0,1.3333333333333333,3.0
4.0,1.5,4.333333333333333,4.333333333333333,2.3333333333333335
2.3333333333333335,3.5,3.0,3.6666666666666665,2.3333333333333335
2.6666666666666665,2.5,3.0,4.0,2.0
3.3333333333333335,3.0,3.3333333333333335,4.0,1.6666666666666667
3.6666666666666665,2.5,3.0,3.3333333333333335,2.0
1.6666666666666667,3.0,1.3333333333333333,4.0,1.0
3.6666666666666665,2.5,4.0,3.3333333333333335,2.6666666666666665
4.0,3.5,3.3333333333333335,4.0,3.0
2.0,2.0,2.3333333333333335,3.3333333333333335,2.3333333333333335
3.0,2.5,2.0,3.6666666666666665,2.0
2.0,1.5,2.3333333333333335,3.6666666666666665,1.0
3.6666666666666665,1.5,3.3333333333333335,4.0,2.6666666666666665
3.3333333333333335,2.0,4.0,2.3333333333333335,2.3333333333333335
1.3333333333333333,3.5,2.6666666666666665,3.6666666666666665,1.6666666666666667
3.0,1.5,4.333333333333333,1.6666666666666667,2.6666666666666665
4.333333333333333,2.5,4.0,3.6666666666666665,3.0
2.6666666666666665,1.5,3.6666666666666665,1.6666666666666667,2.6666666666666665
3.3333333333333335,1.5,4.0,2.0,2.6666666666666665
2.3333333333333335,2.5,2.0,3.6666666666666665,1.3333333333333333
3.0,2.5,3.6666666666666665,4.0,2.6666666666666665
2.6666666666666665,1.5,3.3333333333333335,3.6666666666666665,2.6666666666666665
3.6666666666666665,2.5,4.0,2.0,3.0
3.0,3.5,3.0,3.0,2.6666666666666665
3.3333333333333335,3.0,3.3333333333333335,4.666666666666667,2.0
4.666666666666667,2.5,3.6666666666666665,3.6666666666666665,3.0
3.3333333333333335,4.0,2.6666666666666665,4.333333333333333,1.6666666666666667
2.3333333333333335,3.0,2.3333333333333335,4.0,1.3333333333333333
2.6666666666666665,2.0,3.6666666666666665,2.3333333333333335,2.3333333333333335
2.3333333333333335,2.5,2.0,3.6666666666666665,1.3333333333333333
3.0,2.5,4.0,3.6666666666666665,2.0
2.3333333333333335,1.5,3.3333333333333335,3.6666666666666665,2.0
3.6666666666666665,3.0,2.6666666666666665,4.0,2.0
3.3333333333333335,2.0,4.0,4.0,2.6666666666666665
3.0,2.5,3.6666666666666665,1.6666666666666667,3.0
3.0,2.5,3.3333333333333335,3.0,2.3333333333333335
1.6666666666666667,3.5,2.0,3.0,1.0
2.6666666666666665,2.5,2.6666666666666665,3.6666666666666665,2.6666666666666665
3.0,3.0,3.6666666666666665,3.3333333333333335,2.6666666666666665
3.6666666666666665,2.5,3.6666666666666665,2.3333333333333335,2.6666666666666665
2.0,1.5,3.0,2.0,2.0
3.0,1.5,3.3333333333333335,1.6666666666666667,2.3333333333333335
2.6666666666666665,1.5,3.0,4.333333333333333,2.0
3.0,3.5,2.6666666666666665,2.0,1.6666666666666667
3.3333333333333335,2.5,2.6666666666666665,4.333333333333333,1.6666666666666667
3.6666666666666665,1.5,4.333333333333333,2.6666666666666665,3.0
1.3333333333333333,2.0,1.3333333333333333,3.0,1.3333333333333333
2.6666666666666665,3.0,3.3333333333333335,4.0,2.0
2.6666666666666665,2.0,3.0,3.0,1.3333333333333333
1.6666666666666667,2.0,3.3333333333333335,1.3333333333333333,2.3333333333333335
2.3333333333333335,2.5,3.3333333333333335,1.6666666666666667,3.0
3.0,2.0,4.333333333333333,1.3333333333333333,2.6666666666666665
3.0,2.5,3.6666666666666665,3.0,2.3333333333333335
3.3333333333333335,2.5,4.333333333333333,3.0,2.3333333333333335
2.6666666666666665,4.0,2.3333333333333335,4.0,1.3333333333333333
3.3333333333333335,4.0,2.6666666666666665,4.0,1.6666666666666667
